Questions,options,answer
30) Which of the following operating systems supports only real-time applications?,"['', 'Batch OS', 'Distributed OS', 'Real-time OS', 'Network OS', '']","
Answer: (c) Real-time OS
Explanation: The real-time OS supports real-time applications. This OS is used for industrial and scientific work. It completes the tasks in a given time.
"
31) Which of the following binary formats support the Linux operating system?,"['', '0 and 1', 'Binary Number Format', 'ELF Binary Format', 'None of the these', '']","
Answer: (c) ELF Binary Format
Explanation: ELF stands for ""Executable-and-Linkable-Format"". The ELF format is used for libraries and executable files in Linux operating systems. 
"
32) What is Kali Linux?,"['', 'Network device', 'Operating system', 'Server name', 'Computer name', '']","
Answer: (b) Operating system
Explanation: Kali Linux is an operating system similar to Windows, Unix, and macOS. Kali operating system was designed for reverse engineering, security, computer forensics, etc.
"
33) Which of the following statement is correct about fragmentation?,"['', 'It is software that connects the OS.', 'It is part of the software.', 'Loss the memory', 'All of the these', '']","
Answer: (c) Loss the memory
Explanation: A fragmentation is a state of a hard disk in which the most important parts of a single file are stored at different places in the disk. Due to which there is a loss of memory, and the working efficiency of the operating system is also affected.
"
34) SSTF stands for ________.,"['', 'Shortest Signal Time First', 'Shortest Seek Time First', 'System Seek Time First', 'System Shortest Time First', '']","
Answer: (b) Shortest Seek Time First
Explanation: SSTF stands for Shortest-Seek-Time-First. In the SSTF algorithm, that request is executed first, whose seek time is the shortest.
"
35) The PCB is identified by ___________.,"['', 'Real-Number', 'Binary Number', 'Store block', 'Integer Process ID', '']","
Answer: (d) Integer Process ID
Explanation: PCB is a data structure that is used to store the information of processes. It is identified by an integer process ID (PID).
"
36) Which of the following method is used to prevent threads or processes from accessing a single resource?,"['', 'PCB', 'Semaphore', 'Job Scheduler', 'Non-Contiguous Memory Allocation', '']","
Answer: (b) Semaphore
Explanation: Semaphore is an integer variable that is used to prevent threads or processes from accessing a single resource.
"
37) Which of the following mechanisms is a locking mechanism?,"['', 'Semaphore', 'PCB', 'Mutex', 'Binary Semaphore', '']","
Answer: (c) Mutex
Explanation: The mutex is a locking mechanism that ensures that only one thread can occupy the mutex at a time and enter the critical section.
"
38) Which of the following statements is correct about virtual memory?,"['', 'It is a combination of the logical-memory and physical-memory', 'It is a separation of user logical memory and physical memory', 'It is a virtual network memory', 'None of the these', '']","
Answer: (b) It is a separation of user logical memory and physical memory
Explanation: Virtual memory is used to separate the user's logical memory and actual physical memory. Therefore, option (b) is the correct answer.
"
39) COW stands for __________,"['', 'Compress of write memory', 'Copy overwrite', 'Compress overwrites', 'Computer of world', '']","
Answer: (b) Copy overwrite
Explanation: COW stands for Copy-Overwrite. Initially, it allows both the parent and child systems to share the same page.
"
40) Who is responsible for keeping the process from the program?,"['', 'Operating system', 'CPU', 'Monitor', 'All of the these', '']","
Answer: (a) Operating system
Explanation: A process is created from a program by the operating system. The OS is software that acts as an interface between a device and users and is also known as system software.
"
41) Which of the following operating systems require a command to run?,"['', 'Kali Linux', 'Windows', 'Mac OS', 'Single-user operating system', '']","
Answer: (a) Kali Linux
Explanation: Kali Linux is a fast operating system as more work is done through the command line in it. This OS is a Debian-based Linux OS.
"
