Questions,options,answer
"
                            The command to remove rows from a table ‘CUSTOMER’ is __________________
                        ","['A.DROP FROM CUSTOMER', 'B. UPDATE FROM CUSTOMER', 'C. REMOVE FROM CUSTOMER', 'D. DELETE FROM CUSTOMER WHERE']","
                    Answer»
                    D. DELETE FROM CUSTOMER WHERE
                "
"
                            What type of join is needed when you wish to include rows that do not have matching
values?
                        ","['A.Equi-join', 'B. Natural join', 'C. Outer join', 'D. All of the Mentioned']","
                    Answer»
                    C. Outer join
                "
"
                            What type of join is needed when you wish to return rows that do have matching values?
                        ","['A.Equi-join', 'B. Natural join', 'C. Outer join', 'D. All of the Mentioned']","
                    Answer»
                    D. All of the Mentioned
                "
"
                            Which of the following is one of the basic approaches for joining tables?
                        ","['A.Subqueries', 'B. Union Join', 'C. Natural join', 'D. All of the Mentioned']","
                    Answer»
                    D. All of the Mentioned
                "
"
                            The following SQL is which type of join: SELECT CUSTOMER_T. CUSTOMER_ID,
ORDER_T. CUSTOMER_ID, NAME, ORDER_ID FROM CUSTOMER_T,ORDER_T WHERE CUSTOMER_T. CUSTOMER_ID = ORDER_T. CUSTOMER_ID?
                        ","['A.Equi-join', 'B. Natural join', 'C. Outer join', 'D. Cartesian join']","
                    Answer»
                    A. Equi-join
                "
"
                            A UNION query is which of the following?
                        ","['A.Combines the output from no more than two queries and must include the same number of columns', 'B. Combines the output from no more than two queries and does not include the same number of columns', 'C. Combines the output from multiple queries and must include the same number of columns', 'D. Combines the output from multiple queries and does not include the same number of columns']","
                    Answer»
                    C. Combines the output from multiple queries and must include the same number of columns
                "
"
                            Which of the following statements is true concerning subqueries?
                        ","['A.Involves the use of an inner and outer query', 'B. Cannot return the same result as a query that is not a subquery', 'C. Does not start with the word SELECT', 'D. All of the mentioned']","
                    Answer»
                    A. Involves the use of an inner and outer query
                "
"
                            Which of the following is a correlated subquery?
                        ","['A.Uses the result of an inner query to determine the processing of an outer query', 'B. Uses the result of an outer query to determine the processing of an inner query', 'C. Uses the result of an inner query to determine the processing of an inner query', 'D. Uses the result of an outer query to determine the processing of an outer query']","
                    Answer»
                    A. Uses the result of an inner query to determine the processing of an outer query
                "
"
                            The following SQL is which type of join: SELECT CUSTOMER_T. CUSTOMER_ID,
ORDER_T. CUSTOMER_ID, NAME, ORDER_ID FROM CUSTOMER_T,ORDER_T?
                        ","['A.Equi-join', 'B. Natural join', 'C. Outer join', 'D. Cartesian join']","
                    Answer»
                    D. Cartesian join
                "
"
                            Which is not a type of join in T-SQL?
                        ","['A.Equi-join', 'B. Natural join', 'C. Outer join', 'D. Cartesian join']","
                    Answer»
                    B. Natural join
                "
"
                            What is a view?
                        ","['A.A view is a special stored procedure executed when certain event occurs', 'B. A view is a virtual table which results of executing a pre-compiled query', 'C. A view is a database diagram', 'D. None of the Mentioned']","
                    Answer»
                    B. A view is a virtual table which results of executing a pre-compiled query
                "
"
                            Which of the following is not a limitation of view?
                        ","['A.ORDER BY Does Not Work', 'B. Index Created on View Used Often', 'C. Cross Database Queries Not Allowed in Indexed View', 'D. Adding Column is Expensive by Joining Table Outside View']","
                    Answer»
                    B. Index Created on View Used Often
                "
"
                            SQL Server has mainly how many types of views?
                        ","['A.Views could be looked as an additional layer on the table which enables us to protect intricate or sensitive data based upon our needs', 'B. Views are virtual tables that are compiled at run time', 'C. Creating views can improve query response time', 'D. All of the Mentioned']","
                    Answer»
                    D. All of the Mentioned
                "
"
                            Dynamic Management View is a type of ___________
                        ","['A.one', 'B. two', 'C. three', 'D. four']","
                    Answer»
                    B. two
                "
"
                            Syntax for creating views is __________
                        ","['A.System Defined Views', 'B. User Defined View', 'C. Simple View', 'D. Complex View']","
                    Answer»
                    A. System Defined Views
                "
"
                            You can delete a view with ___________ command.
                        ","['A.CREATE VIEW AS SELECT', 'B. CREATE VIEW AS UPDATE', 'C. DROP VIEW AS SELECT', 'D. CREATE VIEW AS UPDATE']","
                    Answer»
                    A. CREATE VIEW AS SELECT
                "
"
                            What is SCHEMABINDING a VIEW?
                        ","['A.DROP VIEW', 'B. DELETE VIEW', 'C. REMOVE VIEW', 'D. TRUNCATE VIEW']","
                    Answer»
                    A. DROP VIEW
                "
"
                            Which of the following is not a SQL Server INFORMATION_SCHEMA view?
                        ","['A.Schema binding binds your views to the dependent physical columns of the accessed tables specified in the contents of the view', 'B. These are stored only in the Master database', 'C. These types of view are defined by users on a specified schema', 'D. These are used to show database self describing information']","
                    Answer»
                    B. These are stored only in the Master database
                "
"
                            ___________ is stored only in the Master database.
                        ","['A.INFORMATION_SCHEMA.CONSTRAINT_TABLE_USAGE', 'B. INFORMATION_SCHEMA.DOMAIN_CONSTRAINTS', 'C. INFORMATION_SCHEMA.KEY_COLUMN_USAGE', 'D. sys.dm_exec_connections']","
                    Answer»
                    D. sys.dm_exec_connections
                "
"
                            In the __________ normal form, a composite attribute is converted to individual attributes.
                        ","['A.Database-scoped Dynamic Management View', 'B. Complex View', 'C. Catalog View', 'D. None of the mentioned']","
                    Answer»
                    D. None of the mentioned
                "
"
                            Tables in second normal form (2NF):
                        ","['A.First', 'B. Second', 'C. Third', 'D. Fourth']","
                    Answer»
                    A. First
                "
"
                            Which-one ofthe following statements about normal forms is FALSE?
                        ","['A.Eliminate all hidden dependencies', 'B. Eliminate the possibility of a insertion anomalies', 'C. Have a composite key', 'D. Have all non key fields depend on the whole primary key']","
                    Answer»
                    A. Eliminate all hidden dependencies
                "
"
                            Functional Dependencies are the types of constraints that are based on______
                        ","['A.BCNF is stricter than 3 NF', 'B. Lossless, dependency -preserving decomposition into 3 NF is always possible', 'C. Loss less, dependency – preserving decomposition into BCNF is always possible', 'D. Any relation with two attributes is BCNF']","
                    Answer»
                    C. Loss less, dependency – preserving decomposition into BCNF is always possible
                "
"
                            Which is a bottom-up approach to database design that design by examining the relationship
between attributes:
                        ","['A.Key', 'B. Key revisited', 'C. Superset key', 'D. None of the mentioned']","
                    Answer»
                    A. Key
                "
"
                            Which forms simplifies and ensures that there are minimal data aggregates and repetitive
groups:
                        ","['A.Functional dependency', 'B. Database modeling', 'C. Normalization', 'D. Decomposition']","
                    Answer»
                    C. Normalization
                "
"
                            Which forms has a relation that possesses data about an individual entity:
                        ","['A.1NF', 'B. 2NF', 'C. 3NF', 'D. All of the mentioned']","
                    Answer»
                    C. 3NF
                "
"
                            Which forms are based on the concept of functional dependency:
                        ","['A.2NF', 'B. 3NF', 'C. 4NF', 'D. 5NF']","
                    Answer»
                    C. 4NF
                "
"
                            Empdt1(empcode, name, street, city, state, pincode).
For any pincode, there is only one city and state. Also, for given street, city and state, there is just one pincode. In normalization terms, empdt1 is a relation in
                        ","['A.1NF', 'B. 2NF', 'C. 3NF', 'D. 4NF']","
                    Answer»
                    C. 3NF
                "
"
                            We can use the following three rules to find logically implied functional dependencies.
This collection of rules is called
                        ","['A.1 NF only', 'B. 2 NF and hence also in 1 NF', 'C. 3NF and hence also in 2NF and 1NF', 'D. BCNF and hence also in 3NF, 2NF and 1NF']","
                    Answer»
                    B. 2 NF and hence also in 1 NF
                "
"
                            Which of the following is not Armstrong’s Axiom?
                        ","['A.Axioms', 'B. Armstrong’s axioms', 'C. Armstrong', 'D. Closure']","
                    Answer»
                    B. Armstrong’s axioms
                "
"
                            The relation employee(ID,name,street,Credit,street,city,salary) is decomposed into
employee1 (ID, name)
employee2 (name, street, city, salary) This type of decomposition is called
                        ","['A.Reflexivity rule', 'B. Transitivity rule', 'C. Pseudotransitivity rule', 'D. Augmentation rule']","
                    Answer»
                    C. Pseudotransitivity rule
                "
"
                            Inst_dept (ID, name, salary, dept name, building, budget) is decomposed into
instructor (ID, name, dept name, salary)   department (dept name, building, budget)  This comes under
                        ","['A.Lossless decomposition', 'B. Lossless-join decomposition', 'C. All of the mentioned', 'D. None of the mentioned']","
                    Answer»
                    D. None of the mentioned
                "
"
                            There are two functional dependencies with the same set of attributes on the left side of the arrow:
A->BC A->B 
This can be combined as
                        ","['A.Lossy-join decomposition', 'B. Lossy decomposition', 'C. Lossless-join decomposition', 'D. Both Lossy and Lossy-join decomposition']","
                    Answer»
                    D. Both Lossy and Lossy-join decomposition
                "
"
                            Consider a relation R(A,B,C,D,E) with the following functional dependencies:
ABC -> DE and
D -> AB  The number of superkeys of R is:
                        ","['A.A->BC', 'B. A->B', 'C. B->C', 'D. None of the mentioned']","
                    Answer»
                    A. A->BC
                "
"
                            Which, if any, of the two queries above will correctly (in SQL2) get the desired set of
employee ID’s?
                        ","['A.2', 'B. 7', 'C. 10', 'D. 12']","
                    Answer»
                    C. 10
                "
"
                            Suppose now that R(A,B:) and S(A,B:) are two relations with r and s tuples, respectively
(again, not necessarily distinct). If m is the number of (not necessarily distinct) tuples in the
result of the SQL query: R intersect S; Then which of the following is the most restrictive, correct condition on the value of m?
                        ","['A.Both I and II', 'B. I only', 'C. II only', 'D. Neither I nor I']","
                    Answer»
                    A. Both I and II
                "
"
                            Which of the following is not a key?
                        ","['A.m = min(r,s)', 'B. 0 <= m <= r + s', 'C. min(r,s) <= m <= max(r,s)', 'D. 0 <= m <= min(r,s)']","
                    Answer»
                    D. 0 <= m <= min(r,s)
                "
"
                            If a relation is in BCNF, then it is also in
                        ","['A.A', 'B. E', 'C. B, C', 'D. D']","
                    Answer»
                    C. B, C
                "
"
                            Statement 1: A tuple is a row in a relation Statement 2: Existence of multiple foreign keys in a same relation is possible
                        ","['A.1 NF', 'B. 2 NF', 'C. 3 NF', 'D. All of the above']","
                    Answer»
                    D. All of the above
                "
"
                            The____condition allows a general predicate over the relations being joined.
                        ","['A.Output specified attributes from all rows of the input relation and remove duplicate tuples from the output', 'B. Outputs pairs of rows from the two input relations that have the same value on all attributes that have the same name', 'C. Output all pairs of rows from the two input relations (regardless of whether or not they have the same values on common attributes)', 'D. Return rows of the input relation that satisfy the predicate']","
                    Answer»
                    A. Output specified attributes from all rows of the input relation and remove duplicate tuples from the output
                "
"
                            Which of the join operations do not preserve non matched tuples?
                        ","['A.Both the statements are true', 'B. Statement 1 is correct but Statement 2 is false', 'C. Statement 1 is false but Statement 2 is correct', 'D. Both the statements are false']","
                    Answer»
                    A. Both the statements are true
                "
