Questions,options,answer
25) Which of the following operating systems does not support more than one program at a time?,"['', 'Linux', 'Windows', 'MAC', 'DOS', '']","
Answer: (d) DOS
Explanation: DOS stands for Disk operating system. Disk operating system is a single-user operating system that does not support more than one program at a time.
"
26) Which of the following is a condition that causes deadlock?,"['', 'Mutual exclusion', 'Hold and wait', 'Circular wait', 'No preemption', 'All of these', '']","
Answer: (e) All of these
Explanation: None
"
27) Who provides the interface to access the services of the operating system?,"['', 'API', 'System call', 'Library', 'Assembly instruction', '']","
Answer: (b) System call
Explanation: The system call provides an interface for user programs to access the services of the operating system through the API (Application Program Interface).
"
28) Where are placed the list of processes that are prepared to be executed and waiting?,"['', 'Job queue', 'Ready queue', 'Execution queue', 'Process queue', '']","
Answer: (b) Ready queue
Explanation: The ready queue is a set of all the processes that processes are ready to execute and wait.
"
29) Who among the following can block the running process?,"['', 'Fork', 'Read', 'Down', 'All of these', '']","
Answer: (d) All of these
Explanation: None
"
30) Which of the following does not interrupt the running process?,"['', 'Timer interrupt', 'Device', 'Power failure', 'Scheduler process', '']","
Answer: (b) Scheduler process
Explanation: Scheduler process does not interrupt in any running process. Its job is to select the processes for long-term, short-term, and short-term scheduler.
"
31) What is Microsoft window?,"['', 'Operating system', 'Graphics program', 'Word Processing', 'Database program', '']","
Answer: (a) Operating system
Explanation: Microsoft Windows is an operating system that was developed by Microsoft company. The Microsoft Windows is available in 32-bits and 64-bits in the market. 
"
32) Which of the following is group of programs?,"['', 'Accessories', 'Paint', 'Word', 'All of above', '']","
Answer: (a) Accessories
Explanation: The windows accessories are a group of programs in the operating system. Windows XP offers many accessories or software that you can use to help with your work. The accessories are not full features programs, but it is useful for a specific task in the operating systems. It provides many programs such as a painting program, a calculator, a word processor, a notepad, and Internet software.
"
33) Which of the following is an example of a Real Time Operating System?,"['', 'MAC', 'MS-DOS', 'Windows 10', 'Process Control', '']","
Answer: (d) Process Control
Explanation: Process control is a best example of a Real time operating system. 
"
34) Which of the following operating systems do you use for a client-server network?,"['', 'MAC', 'Linux', 'Windows XP', 'Windows 2000', '']","
Answer: (d) Windows 2000
Explanation: Windows 2002 operating systems were used to implement a client Server Network. It is a server OS that was developed by Microsoft in April 24, 2002. It includes some features of Windows XP.
"
35) Which windows was introduced to My Computer?,"['', 'Windows 10', 'Windows XP', 'Windows 95', 'Windows 98', '']","
Answer: (c) Windows 95
Explanation: Windows 95 was first window to introduced the My Computer.
"
36) What type of commands are required to perform various tasks in DOS?,"['', 'Internal commands', 'External commands', 'Valuable commands', 'Primary commands', '']","
Answer: (b) External commands
Explanation: External commands are required to perform various tasks in DOS.
"
37) What is the number of characters contained in the primary name of the file of MS-DOS?,"['', 'Up to 8 characters', '3 characters', 'Up to 10 characters', 'None of the above', '']","
Answer: (a) Up to 8 characters
Explanation: MS-DOS operating system uses the file system that supports the 8.3 characters. The eight characters are used to the filename, and three characters are used to the extension.
"
38) Which command is used to fetch a group (.doc) of files that have just been deleted?,"['', 'Undelete', 'Undelete/all', 'Undelete *.doc', 'All of above', '']","
Answer: (c) Undelete *.doc
Explanation: Undelete *.doc command is used to fetch a group (.doc) of files that have just been deleted.
"
39) Which of the following is system software?,"['', 'Operating system', 'Compiler', 'Utilities', 'All of the above', '']","
Answer: (d) All of the above
Explanation: The system software is a type of computer program designed to run hardware and software programs on a computer.
According to some definitions, system software also includes system utilities, system restore, development tools, compilers, and debuggers.
"
40) Which program runs first after booting the computer and loading the GUI?,"['', 'Desktop Manager', 'File Manager', 'Windows Explorer', 'Authentication', '']","
Answer: (d) Authentication
Explanation: The authentication program is run first after booting the computer and loading the GUI. Authentication is a process of verifying the person or device. For example, when you log in to Facebook, you enter a username and password.
"
